"","date","team","opponent","goals","home.adv"
"400",2017-07-05,"DC United","FC Dallas",2,0
"401",2017-07-05,"Seattle","Colorado",3,0
"402",2017-07-05,"Salt Lake","L.A. Galaxy",6,0
"403",2017-07-06,"New England","New York",2,1
"404",2017-07-06,"Orlando City","Toronto",1,1
"405",2017-07-06,"Houston","Montreal",3,1
"406",2017-07-06,"Vancouver","New York City FC",3,1
"407",2017-07-06,"Portland","Chicago",2,1
"408",2017-07-06,"New York","New England",3,0
"409",2017-07-06,"Toronto","Orlando City",3,0
"410",2017-07-06,"Montreal","Houston",1,0
"411",2017-07-06,"New York City FC","Vancouver",2,0
"412",2017-07-06,"Chicago","Portland",2,0
"413",2017-07-07,"Kansas City","Philadelphia",1,1
"414",2017-07-07,"Philadelphia","Kansas City",1,0
"415",2017-07-20,"New York City FC","Toronto",2,1
"416",2017-07-20,"New York","San Jose",5,1
"417",2017-07-20,"Montreal","Philadelphia",2,1
"418",2017-07-20,"Minnesota United","Houston",0,1
"419",2017-07-20,"L.A. Galaxy","Vancouver",0,1
"420",2017-07-20,"Seattle","DC United",4,1
"421",2017-07-20,"Portland","Salt Lake",1,1
"422",2017-07-20,"Toronto","New York City FC",2,0
"423",2017-07-20,"San Jose","New York",1,0
"424",2017-07-20,"Philadelphia","Montreal",1,0
"425",2017-07-20,"Houston","Minnesota United",0,0
"426",2017-07-20,"Vancouver","L.A. Galaxy",1,0
"427",2017-07-20,"DC United","Seattle",3,0
"428",2017-07-20,"Salt Lake","Portland",4,0
"429",2017-07-22,"Orlando City","Atlanta United",0,1
"430",2017-07-22,"New York City FC","Chicago",2,1
"431",2017-07-22,"Minnesota United","New York",0,1
"432",2017-07-22,"Atlanta United","Orlando City",1,0
"433",2017-07-22,"Chicago","New York City FC",1,0
"434",2017-07-22,"New York","Minnesota United",3,0
"435",2017-07-23,"DC United","Houston",1,1
"436",2017-07-23,"Toronto","Colorado",1,1
"437",2017-07-23,"Columbus","Philadelphia",1,1
"438",2017-07-23,"New England","L.A. Galaxy",4,1
"439",2017-07-23,"Montreal","FC Dallas",1,1
"440",2017-07-23,"Salt Lake","Kansas City",1,1
"441",2017-07-23,"Vancouver","Portland",1,1
"442",2017-07-23,"Houston","DC United",3,0
"443",2017-07-23,"Colorado","Toronto",1,0
"444",2017-07-23,"Philadelphia","Columbus",0,0
"445",2017-07-23,"L.A. Galaxy","New England",3,0
"446",2017-07-23,"FC Dallas","Montreal",2,0
"447",2017-07-23,"Kansas City","Salt Lake",1,0
"448",2017-07-23,"Portland","Vancouver",2,0
"449",2017-07-24,"Seattle","San Jose",3,1
"450",2017-07-24,"San Jose","Seattle",0,0
"451",2017-07-27,"Philadelphia","Columbus",3,1
"452",2017-07-27,"Columbus","Philadelphia",0,0
"453",2017-07-29,"Atlanta United","Orlando City",1,1
"454",2017-07-29,"Orlando City","Atlanta United",1,0
"455",2017-07-30,"New England","Philadelphia",3,1
"456",2017-07-30,"New York","Montreal",4,1
"457",2017-07-30,"FC Dallas","Vancouver",0,1
"458",2017-07-30,"Kansas City","Chicago",3,1
"459",2017-07-30,"Houston","Portland",2,1
"460",2017-07-30,"Salt Lake","Columbus",2,1
